Year,Species,MS,UL,JS,BF,FF,RF,CL,FL,
2007,Picea abies (E-France),,,,,,,,,
2007,Picea abies (N-Scandinavia),,,,,,,,,
2007,Picea omorika (Croatia),,,,,,,,,
2007,Pinus sylvestris* (Poland),,,,,,,,,
2007,Pinus sylvestris (E-France),,,,,,,,,
2007,Pinus sylvestris (N-Scandinavia),,,,,,,,,
2007,Betula pubescens* (Germany),,100,,106,120,,302,314,
2007,Betula pendula (N-Poland),,,,,,,,,
2007,Betula pendula (N-Scandinavia),,,,,,,,,
2007,Fagus sylvatica (Hardegsen)* (Germany),,105,,,,,,,
2007,Fagus sylvatica (Düdelsheim) (Germany),,,,,,,,,
2007,Fagus sylvatica (Trippstadt) (Germany),,,,,,,,,
2007,Fagus sylvatica (Denmark),,,,,,,,,
2007,Fagus orientalis (Balkan),,,,,,,,,
2007,Populus canescens (Germany),,,,,,,,,
2007,Populus tremula* (Germany),,,,,,,,,
2007,Populus tremula (E-Poland),,,,,,,,,
2007,Populus tremula (S-Finland),,,,,,,,,
2007,Populus tremula (Ireland),,,,,,,,,
2007,Populus tremula (Greece),,,,,,,,,
2007,Prunus avium (Bovenden)* (Germany),,,,,,,,,
2007,Prunus avium (Lutter) (Germany),,,,,,,,,
2007,Quercus petraea (Zell/Mosel) (Germany),,,,,,,,,
2007,Quercus petraea, Croatia,,,,,,,,
2007,Quercus robur (Wolfgang)* (Germany),,110,222,,,,289,306,
2007,Quercus robur (Barlohe) (Germany),,,,,,,,,
2007,Quercus robur (Croatia),,,,,,,,,
2007,Robinia pseudoacacia* (USA),,,,,,,,,
2007,Sorbus aucuparia* (Czech Rep.),,,,,,,,,
2007,Sorbus aucuparia (N-Scandinavia),,,,,,,,,
2007,Tilia cordata* (Germany),,,,,,,,,
2007,Ribes alpinum* (Austria),,69,,97,116,263,289,,
2007,Salix aurita* (Germany),,,,,,,,,
2007,Salix acutifolia* (Germany),,95,,95,116,,289,305,
2007,Salix smithiana* (Germany),,74,,65,79,,263,309,
2007,Salix glauca (Greenland),,,,,,,,,
2007,Salix viminalis* (Germany),,50,,65,79,,289,305,
2007,Sambucus nigra* (Germany),,50,,,,,263,289,
2007,Corylus avellana*,,69,,,,,293,309,
2007,Forsythia suspensa," ""Fortunei""*",,36,,50,80,,306,324
2007,Syringa x chinensis," ""Red Rothomagensis""*",,29,,109,121,,289,302
2008,Larix decidua* (Germany),,,,,,,,,
2008,Larix decidua (E-France),,,,,,,,,
2008,Larix decidua (S-Poland),,,,,,,,,
2008,Larix decidua (Czech Republic),,,,,,,,,
2008,Larix decidua (N-Italy),,,,,,,,,
2008,Picea abies (early)* (Germany),,,,,,,,,
2008,Picea abies (late)* (Germany),,,,,,,,,
2008,Picea abies (northern) (Norway),,,,,,,,,
2008,Picea abies (late) (E-Poland),,,,,,,,,
2008,Picea abies (average) (E-Poland),,,,,,,,,
2008,Picea abies (E-Germany),,,,,,,,,
2008,Picea abies (E-France),,,,,,,,,
2008,Picea abies (N-Scandinavia),,,,,,,,,
2008,Picea omorika (Croatia),,,,,,,,,
2008,Pinus sylvestris* (Poland),,,,,,,,,
2008,Pinus sylvestris (E-France),,,,,,,,,
2008,Pinus sylvestris (N-Scandinavia),,,,,,,,,
2008,Betula pubescens* (Germany),,94,,,,,,,
2008,Betula pendula (N-Poland),,,,,,,,,
2008,Betula pendula (N-Scandinavia),,,,,,,,,
2008,Fagus sylvatica (Hardegsen)* (Germany),,,,,,,,,
2008,Fagus sylvatica (Düdelsheim) (Germany),,,,,,,,,
2008,Fagus sylvatica (Trippstadt) (Germany),,,,,,,,,
2008,Fagus sylvatica (Denmark),,,,,,,,,
2008,Fagus orientalis (Balkan),,,,,,,,,
2008,Populus canescens (Germany),,,,,,,,,
2008,Populus tremula* (Germany),,,,,,,,,
2008,Populus tremula (E-Poland),,,,,,,,,
2008,Populus tremula (S-Finland),,,,,,,,,
2008,Populus tremula (Ireland),,,,,,,,,
2008,Populus tremula (Greece),,,,,,,,,
2008,Prunus avium (Bovenden)* (Germany),,,,,,,,,
2008,Prunus avium (Lutter) (Germany),,,,,,,,,
2008,Quercus petraea (Zell/Mosel) (Germany),,,,,,,,,
2008,Quercus petraea, Croatia,,,,,,,,
2008,Quercus robur (Wolfgang)* (Germany),,115,,,,,288,301,
2008,Quercus robur (Barlohe) (Germany),,,,,,,,,
2008,Quercus robur (Croatia),,,,,,,,,
2008,Robinia pseudoacacia* (USA),,,,,,,,,
2008,Sorbus aucuparia* (Czech Rep.),,,,,,,,,
2008,Sorbus aucuparia (N-Scandinavia),,,,,,,,,
2008,Tilia cordata* (Germany),,120,,,,,276,,
2008,Ribes alpinum* (Austria),,64,,94,107,,269,283,
2008,Salix aurita* (Germany),,,,,,,,,
2008,Salix acutifolia* (Germany),,84,,74,86,,263,274,
2008,Salix smithiana* (Germany),,84,,64,79,,275,288,
2008,Salix glauca (Greenland),,,,,,,,,
2008,Salix viminalis* (Germany),,64,,74,79,,289,303,
2008,Sambucus nigra* (Germany),,58,,,,,,263,
2008,Corylus avellana*,,84,,,,,269,,
2008,Forsythia suspensa," ""Fortunei""*",,,,59,64,,289,303
2008,Syringa x chinensis," ""Red Rothomagensis""*",,74,,,,,275,287
2009,Larix decidua* (Germany),,,,,,,,,
2009,Larix decidua (E-France),,,,,,,,,
2009,Larix decidua (S-Poland),,,,,,,,,
2009,Larix decidua (Czech Republic),,,,,,,,,
2009,Larix decidua (N-Italy),,,,,,,,,
2009,Picea abies (early)* (Germany),,,,,,,,,
2009,Picea abies (late)* (Germany),,,,,,,,,
2009,Picea abies (northern) (Norway),,,,,,,,,
2009,Picea abies (late) (E-Poland),,,,,,,,,
2009,Picea abies (average) (E-Poland),,,,,,,,,
2009,Picea abies (E-Germany),,,,,,,,,
2009,Picea abies (E-France),,,,,,,,,
2009,Picea abies (N-Scandinavia),,,,,,,,,
2009,Picea omorika (Croatia),,,,,,,,,
2009,Pinus sylvestris* (Poland),,,,,,,,,
2009,Pinus sylvestris (E-France),,,,,,,,,
2009,Pinus sylvestris (N-Scandinavia),,,,,,,,,
2009,Betula pubescens* (Germany),,99,,,,,,,
2009,Betula pendula (N-Poland),,,,,,,,,
2009,Betula pendula (N-Scandinavia),,,,,,,,,
2009,Fagus sylvatica (Hardegsen)* (Germany),,,,,,,,,
2009,Fagus sylvatica (Düdelsheim) (Germany),,,,,,,,,
2009,Fagus sylvatica (Trippstadt) (Germany),,,,,,,,,
2009,Fagus sylvatica (Denmark),,,,,,,,,
2009,Fagus orientalis (Balkan),,,,,,,,,
2009,Populus canescens (Germany),,,,,,,,,
2009,Populus tremula* (Germany),,,,,,,,,
2009,Populus tremula (E-Poland),,,,,,,,,
2009,Populus tremula (S-Finland),,,,,,,,,
2009,Populus tremula (Ireland),,,,,,,,,
2009,Populus tremula (Greece),,,,,,,,,
2009,Prunus avium (Bovenden)* (Germany),,,,,,,,,
2009,Prunus avium (Lutter) (Germany),,,,,,,,,
2009,Quercus petraea (Zell/Mosel) (Germany),,,,,,,,,
2009,Quercus petraea, Croatia,,,,,,,,
2009,Quercus robur (Wolfgang)* (Germany),,108,,,,,263,305,
2009,Quercus robur (Barlohe) (Germany),,,,,,,,,
2009,Quercus robur (Croatia),,,,,,,,,
2009,Robinia pseudoacacia* (USA),,,,,,,,,
2009,Sorbus aucuparia* (Czech Rep.),,,,,,,,,
2009,Sorbus aucuparia (N-Scandinavia),,,,,,,,,
2009,Tilia cordata* (Germany),,,,,,,,,
2009,Ribes alpinum* (Austria),,68,,94,99,,246,274,
2009,Salix aurita* (Germany),,,,,,,,,
2009,Salix acutifolia* (Germany),,120,,69,74,,293,298,
2009,Salix smithiana* (Germany),,78,,68,78,,329,,
2009,Salix glauca (Greenland),,,,,,,,,
2009,Salix viminalis* (Germany),,78,,,78,,307,324,
2009,Sambucus nigra* (Germany),,,,,,,,,
2009,Corylus avellana*,,78,,,,,,,
2009,Forsythia suspensa," ""Fortunei""*",,,,72,78,,253,309
2009,Syringa x chinensis," ""Red Rothomagensis""*",,73,,,,,253,287
2010,Larix decidua* (Germany),,,,,,,287,321,
2010,Larix decidua (E-France),,,,,,,,,
2010,Larix decidua (S-Poland),,,,,,,,,
2010,Larix decidua (Czech Republic),,,,,,,,,
2010,Larix decidua (N-Italy),,,,,,,,,
2010,Picea abies (early)* (Germany),117,,,,,,,,
2010,Picea abies (late)* (Germany),124,,,,,,,,
2010,Picea abies (northern) (Norway),,,,,,,,,
2010,Picea abies (late) (E-Poland),,,,,,,,,
2010,Picea abies (average) (E-Poland),,,,,,,,,
2010,Picea abies (E-Germany),,,,,,,,,
2010,Picea abies (E-France),,,,,,,,,
2010,Picea abies (N-Scandinavia),,,,,,,,,
2010,Picea omorika (Croatia),,,,,,,,,
2010,Pinus sylvestris* (Poland),,,,,,,,,
2010,Pinus sylvestris (E-France),,,,,,,,,
2010,Pinus sylvestris (N-Scandinavia),,,,,,,,,
2010,Betula pubescens* (Germany),,110,,,117,,277,307,
2010,Betula pendula (N-Poland),,,,,,,,,
2010,Betula pendula (N-Scandinavia),,,,,,,,,
2010,Fagus sylvatica (Hardegsen)* (Germany),,,,,,,278,293,
2010,Fagus sylvatica (Düdelsheim) (Germany),,,,,,,278,300,
2010,Fagus sylvatica (Trippstadt) (Germany),,,,,,,,,
2010,Fagus sylvatica (Denmark),,,,,,,,,
2010,Fagus orientalis (Balkan),,,,,,,,,
2010,Populus canescens (Germany),,,,,,,,,
2010,Populus tremula* (Germany),,,,,,,287,307,
2010,Populus tremula (E-Poland),,,,,,,,,
2010,Populus tremula (S-Finland),,,,,,,,,
2010,Populus tremula (Ireland),,,,,,,,,
2010,Populus tremula (Greece),,,,,,,,,
2010,Prunus avium (Bovenden)* (Germany),,,,,,,231,287,
2010,Prunus avium (Lutter) (Germany),,,,,,,,,
2010,Quercus petraea (Zell/Mosel) (Germany),,,,,,,,,
2010,Quercus petraea, Croatia,,,,,,,,
2010,Quercus robur (Wolfgang)* (Germany),,117,180,,,235,282,307,
2010,Quercus robur (Barlohe) (Germany),,,,,,,,,
2010,Quercus robur (Croatia),,,,,,,,,
2010,Robinia pseudoacacia* (USA),,,,,,,,,
2010,Sorbus aucuparia* (Czech Rep.),,,,,,201,259,287,
2010,Sorbus aucuparia (N-Scandinavia),,,,,,,,,
2010,Tilia cordata* (Germany),,117,,,,,,,
